id,status,assistant_content
open_ended_counterexample__016,rewritten,"İlk gün çalışma eşyalarını tek bir sepette topla ve masayı, çalışırken dinlenme köşesini görmeyeceğin şekilde yerleştir. İlk hafta her iş bitişinde bilgisayarı ve sepeti kaldırmayı alışkanlık hâline getir; en kolay unutulan adım budur. Devamında akşamları daha kolay gevşeyip gevşemediğine bak; hâlâ zorlanıyorsan çalışma alanına ayrı bir lamba ya da kısa bir “işi kapatma” rutini ekle."
open_ended_counterexample__017,rewritten,"Alışverişten önce buzdolabına ve dolaplara bak, evde olanın fotoğrafını çek; aynı ürünü ikinci kez almak israfın en sık nedenidir. Listeyi haftanın öğünlerine göre ve miktarıyla yaz: “domates” değil “4 domates”. Plansız alım için küçük bir pay bırak; tamamen yasaklamak bir süre sonra listeyi bırakmana yol açar. Eve gelince taze ürünleri buzdolabının önüne koy ki unutulmasın."
open_ended_counterexample__018,rewritten,"Katı liste tek başına yetmez, çünkü listeyi evdeki stoku bilmeden yazarsan olanı yeniden alırsın. Esnek dediğin yöntem aslında daha disiplinli: önce evde ne olduğuna bakıp haftanın menüsünü ona göre kuruyorsun, liste de buradan çıkıyor. En iyisi ikisini birleştirmek: listeyi stoka ve menüye göre hazırla, markette de ona bağlı kal."
open_ended_counterexample__019,rewritten,"İlk hafta alışverişten önce evdeki ürünlere bak ve yalnızca planladığın öğünler için miktarlı bir liste yap. Hafta sonunda neyin atıldığını ya da bozulduğunu not et; en çok israf olan ürün, nerede fazla aldığını gösterir. İkinci hafta o ürünlerin miktarını azalt ve plansız alım için küçük bir bütçe belirle. İki haftanın sonunda hedef kusursuz bir liste değil, atılan ürünlerin belirgin şekilde azalması."
open_ended_counterexample__020,rewritten,"Önce kampanyalı ürünlerin gerçekten kullanılıp kullanılmadığına bak: evde bitiyorsa sorun yok, bozuluyor ya da birikiyorsa asıl israf orada. Kampanyalı bir ürünü sepete koymadan önce “Bunu bu hafta hangi öğünde kullanacağım?” diye sor; cevabın yoksa alma. Deterjan ya da makarna gibi dayanıklı ürünlerde kampanyadan yararlanmak mantıklı olabilir, taze ürünlerde nadiren öyledir. Aç karnına alışverişe gitmemek de plansız alımı azaltır."
open_ended_counterexample__021,rewritten,"Ev işlerini günlük, haftalık ve seyrek diye ayır. Bulaşık ve toparlama gibi günlük işleri her gün 10-15 dakikada bitir; çamaşır ve banyo gibi haftalık işleri hafta içi iki akşama dağıt. Hafta sonuna yalnızca cam silmek ya da dolap düzenlemek gibi seyrek ve uzun işleri bırak, onları da her hafta değil sırayla yap."
open_ended_counterexample__022,rewritten,"Hafta sonu işleri uzun sürer, çünkü bir hafta boyunca birikir: dağınıklık büyüdükçe temizlemek hem daha uzun sürer hem de başlamak zorlaşır. Kısa ve tanımlı görevler birikmeyi önler; 15 dakikalık bir işe başlamak, yarım günlük bir işe başlamaktan çok daha kolaydır. Böylece hafta sonu ev işine gitmez, dinlenme günü olarak kalır."
open_ended_counterexample__023,rewritten,"Önce işleri günlük, haftalık ve seyrek diye ayır. İlk hafta yalnızca günlük işleri yerleştir; her akşam 10 dakikalık bir toparlama yeterli. Bu oturduktan sonra haftalık işleri hafta içi iki akşama dağıt. Seyrek işleri en son, ayda bir sırayla yapılacak şekilde planla. Hepsini aynı anda başlatmak, ilk yoğun haftada sistemi bırakmana yol açar."
open_ended_counterexample__024,rewritten,"Seanslar uzuyorsa ya görevler belirsizdir ya da süre gerçekçi değildir. Birkaç seans boyunca hangi işin uzadığını not et. “Mutfağı temizle” gibi geniş tanımları “tezgâhı sil, bulaşığı yerleştir” gibi bitiş noktası belli işlere çevir. Belli bir iş sürekli 15 dakikayı aşıyorsa onu kısa seansa sıkıştırma, hafta sonunun uzun işlerine taşı. Zamanlayıcı kurmak da işi farkında olmadan genişletmeni engeller."
open_ended_counterexample__025,rewritten,"Bir ay boyunca gerçekten giydiklerini dolabın bir tarafında topla. Bu parçalarla iş, günlük hayat ve özel günler için birkaç hazır kombin oluştur ve fotoğrafını çek; sabah karar vermek yerine birini seçersin. Hiç giymediğin parçaları hemen atma, ayrı bir kutuda beklet; birkaç ay aramazsan vedalaşabilirsin."
open_ended_counterexample__026,rewritten,"Dolap doluyken karar verememenin nedeni seçenek fazlalığıdır: her parçayı diğerleriyle nasıl eşleştireceğini sabah o anda düşünmen gerekir ve bu yorar. Hiç giymediğin parçalar da dolapta durup gözünün önündeki seçenekleri artırır. Hazır kombinler kararı önceden, sakin bir zamanda vermeni sağlar; sabah yalnızca seçersin. Giymediklerini ayırmak da bakman gereken parça sayısını azaltır."
open_ended_counterexample__027,rewritten,"Dolabın zaten doluysa sorun parça eksikliği değil, hangi parçaların birlikte işlediğini bilmemek. Bu yüzden önce mevcut kıyafetlerden hazır kombinler oluştur. Bu sırada somut bir eksik ortaya çıkabilir, örneğin birçok üste uyacak düz bir pantolon. Temel parça almak ancak o zaman anlamlıdır, çünkü neyi neden aldığını bilirsin."
open_ended_counterexample__028,rewritten,"Kombinlerin hava değişince işe yaramıyorsa sorun yöntemde değil, onları tek bir havaya göre hazırlamış olmanda. Kombinleri sıcak, ılık ve soğuk diye grupla. Her birine katmanlanabilen parçalar ekle: hırka, ince ceket ya da gömlek aynı kombini birkaç dereceye uyarlar. Sabah hava durumuna bakıp o gruptan seçmen yeterli olur."
open_ended_counterexample__029,rewritten,"İşe misafirin gerçekten fark edeceği bir-iki şeyi seçerek başla, örneğin sevdiği bir yemek ve derli toplu bir oturma alanı. Menüyü daha önce denediğin, önceden hazırlanabilen birkaç yemekle sınırla; tatlıyı ya da ekmeği hazır almakta sakınca yok. Misafir gelmeden önceki son yarım saati boş bırak, böylece misafirini yorgun değil hazır karşılarsın. İyi bir ağırlamayı çeşitlilik değil, ev sahibinin rahat olması belirler."
open_ended_counterexample__030,rewritten,"Asıl güçlük, hazırlığı misafirin gözünden değil kendi beklentinden ölçmendir: her şey kusursuz olsun diye yaptığın işlerin çoğunu misafir fark etmez bile. Bu da seni yorar ve misafir geldiğinde onunla ilgilenecek enerjin kalmaz. Hazırlığı azaltmanın yolu, gerçekten fark yaratacak bir-iki şeye odaklanıp gerisini sadeleştirmektir."
open_ended_counterexample__031,rewritten,"Burada seçim hız ile kalıcılık arasında değil, enerji meselesi: sorunun yorulmak olduğu için her şeyi sıfırdan yapmak bunu çözmez. En mantıklısı, keyif aldığın ya da misafirin en çok takdir edeceği bir-iki şeyi kendin yapıp tatlı, ekmek ya da meze gibi kısımları hazır almak. Kimse neyin ev yapımı olduğunu sorgulamaz, ama ev sahibinin yorgun olduğunu herkes fark eder."
open_ended_counterexample__032,rewritten,İlk gün bir sonraki misafirlik için yalnızca iki şey seç: fark edilecek bir ayrıntı ve iyi yaptığın bir yemek. İlk hafta menünün geri kalanını sadeleştir; hazır alınabilecekleri belirle ve yapılacakları misafirden önceki güne yay. Devamında her misafirlikten sonra “hangisi boşuna yormuştu?” diye kısa bir not al; birkaç seferde seni yormayan bir düzen oluşur.
open_ended_counterexample__033,rewritten,"Telefonun en çok nerede ve günün hangi saatinde şarjsız kaldığını gözlemle. Telefonu en çok bıraktığın yere (yatak başı, çalışma masası) kalıcı bir kablo koy; şarj etmek tek hareketle yapılabildiğinde unutulmaz. Buna sabit bir an ekle: her gece yatarken ya da eve gelince takmak gibi. Hatırlamaya dayanan çözümler çabuk bozulur, ortam ve rutin ise alışkanlığı otomatikleştirir."
open_ended_counterexample__034,rewritten,"Sorun evde yaşandığı için powerbank taşımak onu çözmez, sadece sonucunu idare eder; üstelik powerbank'i şarj etmeyi de hatırlaman gerekir. Telefonu en çok kullandığın yerlere kablo koymak ise şarjı hatırlamaya gerek bırakmadan alışkanlığa bağlar. Powerbank'i dışarıda uzun geçecek günler için yedek olarak tut."
open_ended_counterexample__035,rewritten,İlk hafta telefonun nerede ve hangi saatte şarjsız kaldığını not et ve o noktaya kalıcı bir kablo bırak. İkinci hafta buna sabit bir an ekle; yatmadan önce ya da eve gelince takmak gibi. İki haftanın sonunda telefon hâlâ şarjsız kalıyorsa bunun hangi durumda olduğuna bak; genellikle belli bir gün ya da alışılmışın dışındaki bir durumdur ve tek bir küçük düzeltmeyle çözülür.
open_ended_counterexample__036,rewritten,"Kablo yanındayken bile unutuyorsan sorun erişim değil, takma anının belirsiz olması. Telefonu hangi durumlarda takmadığına bak: yorgun yattığın geceler mi, telefonu elinde kullanırken mi? Takmayı zaten her gün yaptığın bir işe bağla, örneğin alarmı kurarken ya da ışığı kapatmadan önce. Kablonun telefonu bıraktığın noktaya rahatça yetiştiğinden de emin ol; kısa ya da uzanılması zor bir kablo takmayı ertelemene yol açar."
open_ended_counterexample__037,rewritten,"Ayıklamayı taşınma gününe bırakma; az kullandığın kategorilerden başla (kitaplar, dekor, mevsim dışı kıyafetler) ve günlük kullandığın eşyaları en sona bırak. Her gün tek bir kategoriye 30-45 dakika ayır; böylece iş hem küçük kalır hem düzenli ilerler. Her kutuya içindekileri ve gideceği odayı yaz, yeni evde açarken çok zaman kazandırır."
open_ended_counterexample__038,rewritten,"Ayıklama yorucudur, çünkü her eşya için “kalsın mı, gitsin mi” diye karar vermen gerekir ve bu kararlar birikince tükenirsin. Kategori bazlı ilerlemek benzer eşyaları yan yana görmeni sağlar; aynı işi gören beş eşyadan hangisini tutacağına karar vermek kolaylaşır. Kullanılmayanlardan başlamak da hem hızlı bir ilerleme hissi verir hem de paketlenecek eşya miktarını baştan azaltır."
open_ended_counterexample__039,rewritten,"Önce en az kullandığın eşyalarla başla: mevsim dışı kıyafetler, kitaplar, dekor. Her gün bir kategoriyi ayıklayıp hemen paketle; ayıklama ve paketleme aynı kategoride birlikte yapılırsa aynı eşyayı iki kez ele almazsın. Mutfak ve banyo gibi her gün kullanılanları taşınmadan önceki son birkaç güne bırak. Her kutuya içeriği ve gideceği odayı yazmak, yeni evdeki açma işini de kolaylaştırır."
open_ended_counterexample__040,rewritten,"Neyin nerede olduğunu kaybediyorsan kutular muhtemelen karışık doluyor ya da üzerlerindeki yazılar çok genel. Her kutuyu tek bir odanın eşyalarıyla doldur ve üzerine “mutfak” yerine “mutfak – tabaklar, bardaklar” gibi kısa bir içerik yaz. Kutulara numara verip telefonunda basit bir liste tutmak da işe yarar. Yeni evde ilk gün gerekecekleri (şarj aleti, havlu, temel mutfak eşyası) ayrı bir kutuya koy ve belirgin şekilde işaretle."
open_ended_counterexample__041,rewritten,"Her gün az sayıda kelime seç, 5-10 tane yeterli. Her kelimeyle kendi hayatından bir cümle kur; sana bir anlam ifade eden cümleler daha iyi akılda kalır. Tekrarları giderek uzayan aralıklarla yap (ertesi gün, üç gün, bir hafta sonra); Anki gibi bir uygulama bunu senin için planlayabilir. Tekrar ederken anlama bakmadan önce hatırlamaya çalış, çünkü kalıcılığı sağlayan şey hatırlama çabasıdır."
open_ended_counterexample__042,rewritten,"Kelimeleri unutmanın nedeni, beynin kullanılmayan bilgiyi zamanla bırakmasıdır; tekrar edilmeyen bir kelime birkaç günde büyük ölçüde kaybolur. Aralıklı tekrar, kelimeyi tam unutmak üzereyken yeniden çağırır ve her seferinde daha uzun süre kalmasını sağlar. Kelimeyi kendi cümlende kullanmak da onu bildiğin şeylere bağlar, böylece hatırlamak için daha çok ipucun olur. İkisinin ortak noktası, pasif okumak yerine aktif hatırlamaya dayanmalarıdır."
open_ended_counterexample__043,rewritten,"Amacın kalıcı öğrenmekse cevap net: aralıklı tekrar ve kısa cümleler. Uzun listeleri ezberlemek kısa vadede verimli görünür, ama tekrar edilmeyen kelimelerin çoğu birkaç gün içinde unutulur. Aralıklı tekrarda günde daha az kelimeyle ilerlersin ama öğrendiklerin kalır; bu da sonunda daha fazla kelime demektir."
open_ended_counterexample__044,rewritten,"Kartlarda tanıyıp konuşurken hatırlayamaman normal: tanımak ile kullanmak farklı beceriler ve sen şu an yalnızca tanımayı çalışıyorsun. Kartları ters çevir: Türkçe anlamı gör, yabancı kelimeyi söylemeye çalış. Her kelimeyle kendi hayatından bir cümle kur ve yüksek sesle söyle. Günde birkaç dakika kendi kendine konuşmak ya da kısa bir günlük yazmak, kelimeleri gerçek bir bağlamda kullanmanı sağlar."
open_ended_counterexample__045,rewritten,"Videoyu kısa bölümler hâlinde izle ve her bölümden sonra durdur. Ekrana bakmadan ana fikri kendi cümlelerinle anlatmaya çalış; takıldığın yer, aslında anlamadığın yerdir. Sonra konuyla ilgili küçük bir örneği kendin çöz ya da üret. İzlerken her şey tanıdık gelir, ama öğrendiğini gösteren şey onu tek başına yapabilmendir."
open_ended_counterexample__046,rewritten,"Asıl güçlük, izlerken oluşan “anladım” hissinin yanıltıcı olmasıdır: birinin çözümünü takip etmek, aynı şeyi kendin yapmaktan çok daha kolaydır. Video izlemek pasif bir etkinlik, bilgiyi kullanabilmek ise onu hatırlayıp uygulamayı gerektirir. Bu açığı kapatmak için her bölümden sonra durup konuyu kendi cümlelerinle anlat ve küçük bir örnek çöz."
open_ended_counterexample__047,rewritten,"Asıl sorunun konuyu kullanamamak olduğu için videoları hızlı bitirmek bunu çözmez, sadece aynı eksiği daha çabuk biriktirir. Her bölümden sonra küçük bir uygulama yapmak daha yavaştır ama öğrendiğini gerçekten kullanabilmeni sağlar. Zamanın kısıtlıysa ikisini birleştir: videoları biraz hızlı izle ama her bölümden sonra 5-10 dakikalık bir alıştırma yap. İşe yarayıp yaramadığını, videoya bakmadan konuyu kendi cümlelerinle anlatıp basit bir örnek çözebildiğinde anlarsın."
open_ended_counterexample__048,rewritten,"İlk gün bir videoyu kısa bölümlere ayırarak izle ve her bölümden sonra ana fikri ekrana bakmadan kendi cümlelerinle anlat. İlk hafta buna her bölüm için küçük bir alıştırma ekle; kurs alıştırma vermiyorsa kendin basit bir örnek uydur. Devamında ilerlemeni izlediğin video sayısıyla değil, videoya bakmadan çözebildiğin örneklerle ölç ve birkaç haftada bir eski konulara dönüp hâlâ yapabildiğini kontrol et."
open_ended_counterexample__049,rewritten,Her bölüm için önce o bölümün cevapladığı 2-3 temel soruyu yaz. Notunu bu soruların cevaplarıyla sınırla ve kitaptaki cümleleri kopyalamak yerine kendi cümlelerinle yaz. Anlamadığın noktaları ayrıca işaretle ve sonra onlara dön. Sınava yakın notlarını okumak yerine soruları kendine sorarak tekrar et; bu hem daha hızlıdır hem de eksiklerini gösterir.
open_ended_counterexample__050,rewritten,"Her ayrıntıyı yeniden yazmak aslında hızlı değil, en uzun yol; üstelik yazarken seçim yapmadığın için az şey akılda kalır. Sorular ve bağlantılar üzerinden kısa not çıkarmak neyin önemli olduğuna karar vermeni gerektirir ve öğrenmeyi sağlayan da bu seçimdir. Kısa notlar tekrar sırasında da işini kolaylaştırır. Formül, tarih ya da tanım gibi ezber gerektiren ayrıntıları ise ayrı bir listede topla."
open_ended_counterexample__051,rewritten,"İlk hafta her bölüm için önce 2-3 temel soru yaz ve notunu yalnızca bu soruların cevaplarıyla sınırla. Anlamadığın noktaları ayrı bir sayfada topla. İkinci hafta notlarını baştan okumak yerine soruları kendine sor, cevaplayamadıklarını işaretle ve yalnızca onlara dön. Böylece hem notların kısalır hem de sınava kadar hangi konunun eksik olduğunu bilirsin."
open_ended_counterexample__052,rewritten,"Kısaltmaktan korkmanın nedeni genellikle notları tek kaynak gibi görmendir, oysa kitap hâlâ elinde. Nota yalnızca bölümün temel sorularının cevaplarını yaz, ayrıntılar için sayfa numarası bırak. Birkaç bölümde bu yöntemi dene ve kısa notlarla soruları cevaplayıp cevaplayamadığına bak. Cevaplayamadığın bir soru çıkarsa eksik olan ayrıntı odur, onu ekle; geri kalan ayrıntıların notta olmasına gerek yok."
open_ended_counterexample__053,rewritten,"Kitabı haftalık küçük bölümlere ayır ve her oturumun sonunda öğrendiğin tek bir kavramı dene: kod yaz, problem çöz ya da kısa bir özet çıkar. Bir gün kaçırırsan telafi etmeye çalışma, kaldığın yerden devam et; biriken borç hissi kitabı bırakmanın en sık nedenidir. Zor bir bölümde tıkanırsan işaretleyip geç, ilerideki bölümler onu çoğu zaman açıklar."
open_ended_counterexample__054,rewritten,"Teknik kitaplarda ilerleme sayfa sayısından değil, kavramları kullanabilmekten gelir; okuyup uygulamadığın bir kavram birkaç gün sonra kaybolur ve sonraki bölümleri anlamanı zorlaştırır. Günlük kısa okuma, önceki bölümü unutmadan devam etmeni sağlar. Uygulama ise kavramı gerçekten anlayıp anlamadığını hemen gösterir. Uzun ve seyrek okumalarda hem daha çok şey unutursun hem de kitabı bırakma ihtimalin artar."
open_ended_counterexample__055,rewritten,"Önce kitabı haftalık küçük bölümlere ayır ve günde 20-30 dakikalık sabit bir okuma zamanı belirle. İlk hafta sadece bu ritmi oturt. Sonra her oturumun sonuna, öğrendiğin bir kavramı denediğin beş dakika ekle. Bir gün kaçırırsan telafi etmeye çalışma, kaldığın yerden devam et; bu düzende sürekli olmak eksiksiz olmaktan daha önemli."
open_ended_counterexample__056,rewritten,"Zor bölümlerde ara vermenin nedeni, o bölümün her seferinde “bugün bunu bitiremem” hissi vermesidir. Önce nerede tıkandığına bak: ön bilgi mi eksik, yoksa bölüm sadece yoğun mu? Ön bilgi eksikse o konuyu kısa bir kaynaktan tamamla. Yoğunluksa oturum hedefini sayfa yerine tek bir alt başlığa indir; bazen bölümü tam anlamadan geçmek de işe yarar, çünkü sonraki örnekler onu açıklar."
open_ended_counterexample__057,rewritten,"Teslimi küçük ara çıktılara böl ve her birinin sahibini, tarihini ve nasıl görünmesi gerektiğini yazın. Kimin işinin kimin işine bağlı olduğunu da belirtin; böylece bir gecikme erken fark edilir. Haftada bir 15 dakikalık kısa bir kontrolde kimin ilerlediğine, kimin takıldığına bakıp işleri yeniden dağıtın. Eşit sayıda görev her zaman eşit emek demek değildir."
open_ended_counterexample__058,rewritten,"Farklı hızlar tek başına sorun değil; sorun, gecikmenin ancak teslime yakın fark edilmesi. Görevler büyük ve belirsizse kimse işin nerede olduğunu bilmez ve bir kişinin gecikmesi herkesi bekletir. Küçük ara çıktılar ve görünür bağımlılıklar gecikmeyi erken ortaya çıkarır. Görevleri zorluk ve müsaitliğe göre dağıtmak da yükü görev sayısı yerine gerçek emek üzerinden dengeler."
open_ended_counterexample__059,rewritten,Eşit sayıda görev adil görünür ama görevlerin zorluğu eşit olmadığı için genellikle adil değildir; biri iki saatlik bir iş alırken diğeri iki günlük bir iş alabilir. Görevleri zorluk ve müsaitliğe göre dağıtmak biraz daha çok konuşma gerektirir ama gerçek yükü dengeler. Dağılımı herkesin görebileceği bir yerde tutun ki kimse haksızlığa uğradığını düşünmesin.
open_ended_counterexample__060,rewritten,"Bir kişinin gecikmesi herkesi bekletiyorsa sorun hızdan çok bağımlılıkta. Önce hangi görevlerin birbirine bağlı olduğunu çıkarın ve başkalarının beklediği işlere erken tarihli ara çıktılar koyun. Bu işleri öncelikli hâle getirin ve sahibine gerekirse destek verin. Mümkünse bağımlılığı azaltın: diğerleri taslak ya da örnek veriyle çalışmaya başlayabilir, gerçek parça gelince yerine koyulur."
open_ended_counterexample__061,rewritten,"Önce öğrenmek istediğin beceriyi tek cümleyle tanımla, örneğin “basit veri analizi yapabilmek”. Buna uygun bir ana kaynak seç ve iki hafta boyunca ona bağlı kal. Belirli bir konuda takılırsan yardımcı kaynağa yalnızca o konu için bak, sonra ana kaynağa dön. Kaynak değiştirmek ilerleme hissi verir, ama her seferinde aynı temel konuları baştan tekrarlarsın."
open_ended_counterexample__062,rewritten,"Asıl güçlük, her yeni kaynağın başta kolay ve tanıdık gelmesidir: temel konuları yeniden okumak ilerliyormuş hissi verir, zor kısma gelince de yeni kaynak aramaya başlarsın. Böylece hep baştan başlar, asıl öğrenmenin gerçekleştiği zor kısımlara hiç ulaşamazsın. Bunu azaltmak için tek bir ana kaynakla belli bir süre ilerle; zorlandığında kaynağı değil, yalnızca o konunun açıklamasını başka yerden bul."
open_ended_counterexample__063,rewritten,"Bunlar aslında birbirinin alternatifi değil: en çok önerilen kaynağı seçip ona bağlı kalmak da tek ana kaynak yaklaşımıdır. Asıl sorun hangi kaynağı seçtiğin değil, sürekli değiştirmen. İyi bir kaynak seç ama seçime fazla zaman harcama; iyi kaynaklar arasındaki fark, sürekli değiştirmenin maliyetinden azdır. Yardımcı kaynağı da yalnızca ana kaynakta anlamadığın belirli bir konu için kullan."
open_ended_counterexample__064,rewritten,"İlk gün öğrenmek istediğin beceriyi tek cümleyle yaz ve buna uygun bir ana kaynak seç. İlk hafta sadece o kaynakla ilerle; takıldığın yerleri not et ama kaynak değiştirme. Devamında notlarındaki belirli eksikler için yardımcı kaynağa bak, sonra ana kaynağa dön. Kaynağı değiştirmek istediğinde önce onunla neler yapabildiğine bak; ilerleme varsa sorun kaynakta değildir."
open_ended_counterexample__065,rewritten,"Anlatmaya başlamadan önce konunun ana fikrini tek cümleyle söyleyebildiğinden emin ol; söyleyemiyorsan dağılmanın nedeni budur. Önce bu ana fikri söyle, sonra onu gösteren tek bir somut örnek ver. Ayrıntıları ancak karşındaki sorarsa ya da gerçekten gerekliyse ekle. Sonunda karşındakine ne anladığını sor; bu, neyin eksik kaldığını gösterir."
open_ended_counterexample__066,rewritten,"Çok ayrıntı vermek eksiksiz görünür, ama dinleyici neyin önemli olduğunu bilmediği için ana fikri kaçırır. Önce ana fikri ve bir örneği vermek, dinleyicinin ayrıntıları yerleştirebileceği bir çerçeve kurar. Bu yüzden çoğu durumda ikinci yol daha iyi. Karşındaki konuya zaten hâkimse ve özellikle ayrıntı istiyorsa daha derine inmek anlamlı olabilir."
open_ended_counterexample__067,unchanged,
