id,split,training_eligible,exclusion_reason,source,source_id,category,input_text,target_text,part_of_speech,variants,quality_status
wiktionary-00018,train,true,,wiktionary,18,lexicon,Иусыф,Josef (name),name,Иусыф | Иусыфэхэм | Иусыфэкӏэ | Иусыфэр | Иусыфэхэкӏэ | Иусыфэм | Иусыфэхэр | Иусыфэхэмэ | Иусыфыу | Иусыфэхэ | Иусыфэхыу | Иусыфэ,accepted
wiktionary-00019,test,true,,wiktionary,19,lexicon,Китай,China (a region and country in East Asia),name,Китай,accepted
wiktionary-00020,train,true,,wiktionary,20,lexicon,Куба,Cuba (an island and country in the Caribbean),name,Куба,accepted
wiktionary-00021,test,true,,wiktionary,21,lexicon,Къуэдэс,"Qwedes : God of sea, in form of fish (literally: ‘living in a depression’).",name,Къуэдэс | Къуэдэсэ | Къуэдэсэм | Къуэдэсэхэ | Къуэдэсэкӏэ | Къуэдэсэр | Къуэдэсэхэр | Къуэдэсэхэмэ | Къуэдэсыу | Къуэдэсэхэкӏэ | Къуэдэсэхэм | Къуэдэсэхыу,accepted
wiktionary-00022,train,true,,wiktionary,22,lexicon,Къызбэч,Qzbek (name),name,Къызбэч,accepted
wiktionary-00023,train,true,,wiktionary,23,lexicon,Лъэпщ,"Lhepsch, Tlepsh: Patron of smiths, iron, weapons and fire. Corresponds to the Roman god Vulcan and to Hephæstus in the Greek Pantheon.",name,Лъэпщ | Лъэпщхыу | Лъэпщхэмэ | Лъэпщм | Лъэпщр | Лъэпщхэм | Лъэпщу | Лъэпщхэкӏэ | Лъэпщхэр | Лъэпщмкӏэ | Лъэпщкӏэ,accepted
wiktionary-00024,train,true,,wiktionary,24,lexicon,Мамыщ,"Mamisch, Mamish: Patron of fortunetellers, specifically of scapula readers.",name,Мамыщ | Мамыщм | Мамыщхэр | Мамыщхэмэ | Мамыщмкӏэ | Мамыщхыу | Мамыщхэкӏэ | Мамыщу | Мамыщр | Мамыщкӏэ | Мамыщхэм,accepted
wiktionary-00025,train,true,,wiktionary,25,lexicon,Мусэ,Moses (name),noun,Мусэ | Мусээм | Мусээхэр | Мусээр | Мусэыу | Мусээхэкӏэ | Мусээкӏэ | Мусээхэм | Мусээ | Мусээхэмэ | Мусээхыу | Мусээхэ,accepted
wiktionary-00026,train,true,,wiktionary,26,lexicon,Мэзгуащэ,Mezgwasche: Goddess of forests and trees.,name,Мэзгуащэ | Мэзгуащэхэмэ | Мэзгуащэхэ | Мэзгуащэхэкӏэ | Мэзгуащэр | Мэзгуащэхэр | Мэзгуащэкӏэ | Мэзгуащэхыу | Мэзгуащэм | Мэзгуащэхэм | Мэзгуащэу,accepted
wiktionary-00027,train,true,,wiktionary,27,lexicon,Мэзытхьэ,"Mezithe : God of forests, trees, the hunt and beasts. He disposed of the fate of beasts, and brought good luck to the hunt. He is depicted as riding a golden-bristled boar. He took his deer to a meadow wherein a group of virgins milked them.",name,Мэзытхьэ | Мэзытхьэм | Мэзытхьэхыу | Мэзытхьэхэ | Мэзытхьэхэкӏэ | Мэзытхьэр | Мэзытхьэхэм | Мэзытхьэхэр | Мэзытхьэхэмэ | Мэзытхьэкӏэ | Мэзытхьэу,accepted
wiktionary-00028,train,true,,wiktionary,28,lexicon,Нарт,(mythology) Nart,name,Нарт,accepted
wiktionary-00029,test,true,,wiktionary,29,lexicon,Нат,(Shapsug) Alternative form of нат (nāt),name,Нат,accepted
wiktionary-00030,train,true,,wiktionary,30,lexicon,Нухь,Noah (name),noun,Нухь | Нухьыу | Нухьэ | Нухьэм | Нухьэхэр | Нухьэхэм | Нухьэр | Нухьэхэ | Нухьэхэмэ | Нухьэхэкӏэ | Нухьэхыу | Нухьэкӏэ,accepted
wiktionary-00031,train,true,,wiktionary,31,lexicon,Псатхьэ,Psathe : God of the soul or life. Also denotes icon of Christian Circassians (in Mozdok).,name,Псатхьэ | Псатхьэу | Псатхьэхэ | Псатхьэм | Псатхьэхэм | Псатхьэкӏэ | Псатхьэхэкӏэ | Псатхьэхыу | Псатхьэхэмэ | Псатхьэхэр | Псатхьэр,accepted
wiktionary-00032,train,true,,wiktionary,32,lexicon,Псытхьэ,Psithe : God of water.,name,Псытхьэ | Псытхьэхэ | Псытхьэхэм | Псытхьэм | Псытхьэкӏэ | Псытхьэхыу | Псытхьэр | Псытхьэхэмэ | Псытхьэу | Псытхьэхэр | Псытхьэхэкӏэ,accepted
wiktionary-00033,train,true,,wiktionary,33,lexicon,Псытхьэгуащэ,"Psithegwasche, Psigwasche : Goddess of water. Popular tradition had her portrayed as a beautiful maid.",name,Псытхьэгуащэ | Псытхьэгуащэм | Псытхьэгуащэу | Псытхьэгуащэхэкӏэ | Псытхьэгуащэхэм | Псытхьэгуащэхэ | Псытхьэгуащэхыу | Псытхьэгуащэр | Псытхьэгуащэхэр | Псытхьэгуащэхэмэ | Псытхьэгуащэкӏэ,accepted
wiktionary-00034,train,true,,wiktionary,34,lexicon,Псыхъуэгуащэ,Psix'wegwasche: Goddess of rivers (river valleys).,name,Псыхъуэгуащэ | Псыхъуэгуащэр | Псыхъуэгуащэхэкӏэ | Псыхъуэгуащэхыу | Псыхъуэгуащэкӏэ | Псыхъуэгуащэхэмэ | Псыхъуэгуащэм | Псыхъуэгуащэу | Псыхъуэгуащэхэ | Псыхъуэгуащэхэм | Псыхъуэгуащэхэр,accepted
wiktionary-00035,train,true,,wiktionary,35,lexicon,Пэкъуэ,peqwe : 'False' demi-god - creator of the fields - debunked by Wezirmes.,name,Пэкъуэ | Пэкъуэхэм | Пэкъуэхэкӏэ | Пэкъуэхэмэ | Пэкъуэр | Пэкъуэхыу | Пэкъуэм | Пэкъуэхэ | Пэкъуэкӏэ | Пэкъуэхэр | Пэкъуэу,accepted
wiktionary-00036,train,true,,wiktionary,36,lexicon,Созэрэш,"Sozerash: God of fertility, family hearth, well-being and illness. He was a great voyager and controlled the winds and waters. He was also the protector of herds (Shawzerish [Шаузэрыш] in Shapsugh).",name,Созэрэш | Созэрэшэм | Созэрэшэхэр | Созэрэшыу | Созэрэшэ | Созэрэшэхэм | Созэрэшэр | Созэрэшэкӏэ | Созэрэшэхэ | Созэрэшэхэкӏэ | Созэрэшэхыу | Созэрэшэхэмэ,accepted
wiktionary-00037,train,true,,wiktionary,37,lexicon,Сотрэш,Sotresh: God of gaiety and holidays.,name,Сотрэш | Сотрэшэкӏэ | Сотрэшэм | Сотрэшэхыу | Сотрэшэ | Сотрэшэхэмэ | Сотрэшэхэ | Сотрэшэр | Сотрэшэхэкӏэ | Сотрэшэхэм | Сотрэшэхэр | Сотрэшыу,accepted
wiktionary-00038,train,true,,wiktionary,38,lexicon,Тхьэгуащэ,Thegwasche: Protectress of women (literally: ‘Matron of the gods’).,name,Тхьэгуащэ | Тхьэгуащэхэм | Тхьэгуащэр | Тхьэгуащэкӏэ | Тхьэгуащэм | Тхьэгуащэхыу | Тхьэгуащэхэр | Тхьэгуащэхэ | Тхьэгуащэхэкӏэ | Тхьэгуащэу | Тхьэгуащэхэмэ,accepted
wiktionary-00039,train,true,,wiktionary,39,lexicon,Тхьэгъуичу,Theghwiychu: Protector of people. Intermediary between gods and people.,name,Тхьэгъуичу | Тхьэгъуичуэхэм | Тхьэгъуичухыу | Тхьэгъуичуэ | Тхьэгъуичуэхэ | Тхьэгъуичуэм | Тхьэгъуичуэхэкӏэ | Тхьэгъуичуыу | Тхьэгъуичуэхэр | Тхьэгъуичуэкӏэ | Тхьэгъуичуэр | Тхьэгъуичуэхэмэ,accepted
wiktionary-00040,train,true,,wiktionary,40,lexicon,Тхьэгъэлэдж,Theghelej: God of fertility and plants.,name,Тхьэгъэлэдж | Тхьэгъэлэджэхэ | Тхьэгъэлэджэхэмэ | Тхьэгъэлэджыу | Тхьэгъэлэджэкӏэ | Тхьэгъэлэджэм | Тхьэгъэлэджэхэкӏэ | Тхьэгъэлэджэхэр | Тхьэгъэлэджэхэм | Тхьэгъэлэджэхыу | Тхьэгъэлэджэр | Тхьэгъэлэджэ,accepted
wiktionary-00041,test,true,,wiktionary,41,lexicon,Тхьэшу,Theshu: Protector of horsemen.,name,Тхьэшу | Тхьэшуэкӏэ | Тхьэшуэм | Тхьэшуэхэм | Тхьэшуыу | Тхьэшуэхэкӏэ | Тхьэшуэ | Тхьэшуэхэр | Тхьэшуэхэмэ | Тхьэшухыу | Тхьэшуэхэ | Тхьэшуэр,accepted
wiktionary-00042,train,true,,wiktionary,42,lexicon,Тхьэшырыпхъу,Theshiripx'w : Patron of beautiful and intelligent women.,name,Тхьэшырыпхъу,accepted
wiktionary-00043,validation,true,,wiktionary,43,lexicon,Тыгъэгъаз,December,name,Тыгъэгъаз,accepted
wiktionary-00044,train,true,,wiktionary,44,lexicon,Тэтэртуп,Tetertup: God of war and bloodshed. Equivalent to Grecian Ares and to Roman Mars.,name,Тэтэртуп | Тэтэртупэм | Тэтэртупэхыу | Тэтэртупэкӏэ | Тэтэртупэр | Тэтэртупэхэмэ | Тэтэртупэхэм | Тэтэртупэхэкӏэ | Тэтэртупыу | Тэтэртупэхэ | Тэтэртупэхэр | Тэтэртупэ,accepted
wiktionary-00045,train,true,,wiktionary,45,lexicon,Уащхъуэ,Washwa: One of the supreme cosmic deities; god of the skies (literally: ‘blue sky’).,name,Уащхъуэ | Уащхъуэр | Уащхъуэм | Уащхъуэкӏэ | Уащхъуэхэкӏэ | Уащхъуэхэ | Уащхъуэу | Уащхъуэхыу | Уащхъуэхэм | Уащхъуэхэр | Уащхъуэхэмэ,accepted
wiktionary-00046,train,true,,wiktionary,46,lexicon,Урысый,Russia,name,Урысый,accepted
wiktionary-00047,train,true,,wiktionary,47,lexicon,Хьао,Eve (name),noun,Хьао | Хьаохэм | Хьаохэмэ | Хьаор | Хьаохыу | Хьаокӏэ | Хьаохэр | Хьаом | Хьаохэкӏэ | Хьаоу | Хьаохэ,accepted
wiktionary-00048,train,true,,wiktionary,48,lexicon,Хьарун,Harun (name),name,Хьарун,accepted
wiktionary-00049,train,true,,wiktionary,49,lexicon,Хьэдрыхэ,"Hedrixe, Hedirix : Protector of the dead. ; afterworld, hereafter",name | noun,Хьэдрыхэ | Хьэдрыхэу | Хьэдрыхэхэ | Хьэдрыхэхэм | Хьэдрыхэр | Хьэдрыхэхэр | Хьэдрыхэм | Хьэдрыхэхыу | Хьэдрыхэхэкӏэ | Хьэдрыхэкӏэ | Хьэдрыхэхэмэ,accepted
wiktionary-00050,train,true,,wiktionary,50,lexicon,Хьэдрыхэтхьэ,Hedrixethe : God of the hereafter (Abzakh),name,Хьэдрыхэтхьэ | Хьэдрыхэтхьэхэмэ | Хьэдрыхэтхьэм | Хьэдрыхэтхьэу | Хьэдрыхэтхьэхыу | Хьэдрыхэтхьэхэм | Хьэдрыхэтхьэхэ | Хьэдрыхэтхьэр | Хьэдрыхэтхьэкӏэ | Хьэдрыхэтхьэхэкӏэ | Хьэдрыхэтхьэхэр,accepted
wiktionary-00051,train,true,,wiktionary,51,lexicon,Хьэкусташ,Patron of horsemanship.,name,Хьэкусташ | Хьэкусташхэкӏэ | Хьэкусташм | Хьэкусташхыу | Хьэкусташкӏэ | Хьэкусташхэмэ | Хьэкусташхэр | Хьэкусташу | Хьэкусташхэм | Хьэкусташр,accepted
wiktionary-00052,train,true,,wiktionary,52,lexicon,Хьэкӏущтащхьэ,"Hek'wschtaschhe, Hekwschtix' : Protector of oxen (Shapsugh).",name,Хьэкӏущтащхьэ | Хьэкӏущтащхьэхэкӏэ | Хьэкӏущтащхьэкӏэ | Хьэкӏущтащхьэм | Хьэкӏущтащхьэхэм | Хьэкӏущтащхьэхыу | Хьэкӏущтащхьэхэ | Хьэкӏущтащхьэхэмэ | Хьэкӏущтащхьэу | Хьэкӏущтащхьэр | Хьэкӏущтащхьэхэр,accepted
wiktionary-00053,test,true,,wiktionary,53,lexicon,Хьэнцийгуащэ,"Hentsiygwasche, Hentsegwasche: Goddess of rain.",name,Хьэнцийгуащэ | Хьэнцийгуащэр | Хьэнцийгуащэхэ | Хьэнцийгуащэхэмэ | Хьэнцийгуащэхыу | Хьэнцийгуащэм | Хьэнцийгуащэхэкӏэ | Хьэнцийгуащэхэм | Хьэнцийгуащэу | Хьэнцийгуащэкӏэ | Хьэнцийгуащэхэр,accepted
wiktionary-00054,train,true,,wiktionary,54,lexicon,Хьэо,Eve (name),name,Хьэо,accepted
wiktionary-00055,train,true,,wiktionary,55,lexicon,Хьэуцхьэш,Hewits-Hesh: God of seas and demi-gods.,name,Хьэуцхьэш | Хьэуцхьэшхэр | Хьэуцхьэшхэкӏэ | Хьэуцхьэшхэм | Хьэуцхьэшр | Хьэуцхьэшхэмэ | Хьэуцхьэшкӏэ | Хьэуцхьэшу | Хьэуцхьэшм | Хьэуцхьэшхыу,accepted
wiktionary-00056,validation,true,,wiktionary,56,lexicon,ШышъхьэӀу,August,name,ШышъхьэӀу,accepted
wiktionary-00057,train,true,,wiktionary,57,lexicon,ШэкӀогъу,November,name,ШэкӀогъу,accepted
wiktionary-00058,validation,true,,wiktionary,58,lexicon,Щыблэ,Shyble : Circassian God of thunder (storms) and lightning; also of war and justice. Circassians Both loved and feared Shyble. Death by lightning considered to be a good and clean death and those who died by lightning were revered as saints blessed by Shyble.,name,Щыблэ | Щыблэм | Щыблэкӏэ | Щыблэу | Щыблэхыу | Щыблэхэкӏэ | Щыблэхэм | Щыблэхэ | Щыблэр | Щыблэхэр | Щыблэхэмэ,accepted
wiktionary-00059,train,true,,wiktionary,59,lexicon,Якъуб,Jacob (name),noun,Якъуб | Якъубэхэмэ | Якъубэхэм | Якъубэм | Якъубэхэ | Якъубэхыу | Якъубэкӏэ | Якъубэхэр | Якъубэ | Якъубэхэкӏэ | Якъубэр | Якъубыу,accepted
wiktionary-00060,train,true,,wiktionary,60,lexicon,а,"that, Calling article (o) ; The first letter of the Adyghe alphabet, written in the Cyrillic script.",det | character,а | А,accepted
wiktionary-00061,train,true,,wiktionary,61,lexicon,а нахь,more than that ; rather,adv,а нахь,accepted
wiktionary-00062,train,true,,wiktionary,62,lexicon,а тӏэкӏум,that place,adv,а тӏэкӏум,accepted
wiktionary-00063,train,true,,wiktionary,63,lexicon,абадз,Abaza (Circassian clan),noun,абадз | абадзэр | абадзыу | абадзэм | абадзэ | абадзэхэр | абадзэхэмэ | абадзэхэм | абадзэхэ | абадзэхыу | абадзэхэкӏэ | абадзэкӏэ,accepted
wiktionary-00064,train,true,,wiktionary,64,lexicon,абакъэ,a certain style of walking where the person points their right foot to the right and the left foot to the left.,adj,абакъэ,accepted
wiktionary-00065,validation,true,,wiktionary,65,lexicon,абан,hole,noun,абан | абанэхэм | абанэхэр | абанэхыу | абанэхэмэ | абанэ | абанэм | абаныу | абанэкӏэ | абанэхэкӏэ | абанэр | абанэхэ,accepted
wiktionary-00066,train,true,,wiktionary,66,lexicon,абас,(historical) abbasi (Persian coin),noun,абас | абасэкӏэ | абасэм | абасэхэр | абасэхэм | абасыу | абасэр | абасэ | абасэхэкӏэ | абасэхэ | абасэхэмэ | абасэхыу,accepted
wiktionary-00067,train,true,,wiktionary,67,lexicon,абдзах,Abdzakh (Circassian clan),noun,абдзах | абдзахэхэр | абдзахэм | абдзахэхэм | абдзахыу | абдзахэхэкӏэ | абдзахэхэ | абдзахэхэмэ | абдзахэр | абдзахэ | абдзахэхыу | абдзахэкӏэ,accepted
wiktionary-00068,train,true,,wiktionary,68,lexicon,абрагъу,"large, very big",adj,абрагъу,accepted
wiktionary-00069,test,true,,wiktionary,69,lexicon,абрадж,lone hero,noun,абрадж | абраджэхэр | абраджэр | абраджэм | абраджэхыу | абраджэ | абраджэкӏэ | абраджэхэмэ | абраджэхэ | абраджыу | абраджэхэкӏэ | абраджэхэм,accepted
wiktionary-00070,train,true,,wiktionary,70,lexicon,абрамыжъу,A legendary hard rock mentioned in the Nart saga,noun,абрамыжъу | абрамыжъуэм | абрамыжъуэкӏэ | абрамыжъуэхэкӏэ | абрамыжъухыу | абрамыжъуэхэм | абрамыжъуэхэмэ | абрамыжъуэ | абрамыжъуэр | абрамыжъуэхэ | абрамыжъуыу | абрамыжъуэхэр,accepted
wiktionary-00071,train,true,,wiktionary,71,lexicon,абрикос,apricot,noun,абрикос | абрикосэр | абрикосэхэр | абрикосэхэмэ | абрикосэхэкӏэ | абрикосэхэм | абрикосэхэ | абрикосэм | абрикосэ | абрикосэкӏэ | абрикосэхыу | абрикосыу,accepted
wiktionary-00072,train,true,,wiktionary,72,lexicon,абхъаз,Abkhaz (Circassian clan),noun,абхъаз | абхъазэхыу | абхъазэр | абхъазыу | абхъазэм | абхъазэхэкӏэ | абхъазэ | абхъазэкӏэ | абхъазэхэм | абхъазэхэ | абхъазэхэмэ | абхъазэхэр,accepted
wiktionary-00073,train,true,,wiktionary,73,lexicon,абыкъу,A breed of Circassian horses,noun,абыкъу | абыкъухыу | абыкъуэм | абыкъуэ | абыкъуэхэкӏэ | абыкъуыу | абыкъуэхэ | абыкъуэхэм | абыкъуэкӏэ | абыкъуэхэмэ | абыкъуэр | абыкъуэхэр,accepted
wiktionary-00074,train,true,,wiktionary,74,lexicon,абэгъоплъ,"An old work: one that is cultural, heritage, hierarchical, inherited.",noun,абэгъоплъ,accepted
wiktionary-00075,train,true,,wiktionary,75,lexicon,абэдзэкъуай,mallow,noun,абэдзэкъуай | абэдзэкъуайэм | абэдзэкъуайэхэкӏэ | абэдзэкъуайэхыу | абэдзэкъуайэ | абэдзэкъуайэкӏэ | абэдзэкъуайэхэм | абэдзэкъуайэр | абэдзэкъуайэхэ | абэдзэкъуайэхэмэ | абэдзэкъуайыу | абэдзэкъуайэхэр,accepted
wiktionary-00076,test,true,,wiktionary,76,lexicon,абэуйэй,An expression used when someone messes up,intj,абэуйэй,accepted
wiktionary-00077,train,true,,wiktionary,77,lexicon,агощ,"(mathematics) numerator, dividend ; divided",noun | adj,агощ,accepted
wiktionary-00078,test,true,,wiktionary,78,lexicon,агощырэр,"(mathematics) numerator, dividend ; divided",noun | adj,агощырэр,accepted
wiktionary-00079,train,true,,wiktionary,79,lexicon,агурджашъу,mullet (fish),noun,агурджашъу | агурджашъуэхэ | агурджашъуэм | агурджашъуэхэм | агурджашъуэхэкӏэ | агурджашъуэ | агурджашъуэр | агурджашъуэхэмэ | агурджашъуыу | агурджашъуэкӏэ | агурджашъухыу | агурджашъуэхэр,accepted
wiktionary-00080,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,80,lexicon,агъо,"mistletoe, wild olive",noun,агъо | агъохэкӏэ | агъохэ | агъом | агъохэр | агъохэмэ | агъохэм | агъоу | агъохыу | агъор | агъокӏэ,accepted
wiktionary-00081,train,true,,wiktionary,81,lexicon,агъунэр,"edge, margin, side",noun,агъунэр | агъунэрэр | агъунэрэкӏэ | агъунэрэхэм | агъунэрэм | агъунэрэхэ | агъунэрэ | агъунэрэхэкӏэ | агъунэрэхыу | агъунэрыу | агъунэрэхэмэ | агъунэрэхэр,accepted
wiktionary-00082,train,true,,wiktionary,82,lexicon,аджал,death,noun,аджал | аджалэхыу | аджалэхэ | аджалэкӏэ | аджалэхэкӏэ | аджалэм | аджалэхэм | аджалыу | аджалэхэр | аджалэ | аджалэр | аджалэхэмэ,accepted
wiktionary-00083,train,true,,wiktionary,83,lexicon,аджар,Ajar (a Caucasian people),noun,аджар | аджарэхыу | аджарэм | аджарэхэм | аджарыу | аджарэхэр | аджарэ | аджарэкӏэ | аджарэр | аджарэхэкӏэ | аджарэхэ | аджарэхэмэ,accepted
wiktionary-00084,train,true,,wiktionary,84,lexicon,адрабгъу,"opposite side, other side",adv,адрабгъу | адырабгъу,accepted
wiktionary-00085,train,true,,wiktionary,85,lexicon,адрэ,that other,det,адрэ,accepted
wiktionary-00086,train,true,,wiktionary,86,lexicon,адрэр,(absolutive case) that other one,pron,адрэр,accepted
wiktionary-00087,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,87,lexicon,адыгабзэ,the Adyghe language,name,адыгабзэ,accepted
wiktionary-00088,train,true,,wiktionary,88,lexicon,адыгагъ,Adigaghe (traditional Adyghe conduct code),noun,адыгагъ | адыгагъэкӏэ | адыгагъэм | адыгагъэхэ | адыгагъэхэкӏэ | адыгагъэ | адыгагъыу | адыгагъэхэм | адыгагъэхыу | адыгагъэхэмэ | адыгагъэр | адыгагъэхэр,accepted
wiktionary-00089,train,true,,wiktionary,89,lexicon,адыгэ,"an Adyghe person, a member of the Circassian people",noun,адыгэ | адыгэм | адыгэхэ | адыгэр | адыгэу | адыгэхыу | адыгэхэр | адыгэхэм | адыгэхэмэ | адыгэкӏэ | адыгэхэкӏэ,accepted
wiktionary-00090,train,true,,wiktionary,90,lexicon,адыгэаму,coriander,noun,адыгэаму,accepted
wiktionary-00091,train,true,,wiktionary,91,lexicon,адыгэбзэ,the Adyghe language,name,адыгэбзэ | адыгэбзэр | адыгэбзэм | адыгэбзэхэ | адыгэбзэу | адыгэбзэкӏэ | адыгэбзэхэкӏэ | адыгэбзэхэм | адыгэбзэхэмэ | адыгэбзэхыу | адыгэбзэхэр,accepted
wiktionary-00092,test,true,,wiktionary,92,lexicon,адыгэкъэб,Sweet pumpkin,noun,адыгэкъэб | адыгэкъэбэхэр | адыгэкъэбэм | адыгэкъэбэхэ | адыгэкъэбыу | адыгэкъэбэхэкӏэ | адыгэкъэбэхыу | адыгэкъэбэр | адыгэкъэбэхэмэ | адыгэкъэбэхэм | адыгэкъэбэ | адыгэкъэбэкӏэ,accepted
wiktionary-00093,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,93,lexicon,адэ,"cancer (illness) ; over there (Invisible, Far) ; sure, of course (Expresses confidence) ; well",noun | adv,адэ | ады | аддэ,accepted
wiktionary-00094,train,true,,wiktionary,94,lexicon,адэбз,"cancer, tumor (malignant)",noun,адэбз,accepted
wiktionary-00095,train,true,,wiktionary,95,lexicon,адэкӏо,there (place),adv,адэкӏо,accepted
wiktionary-00096,test,true,,wiktionary,96,lexicon,адэхъу,tumor (benign),noun,адэхъу | адэхъуэхэм | адэхъуэ | адэхъуэм | адэхъуыу | адэхъухыу | адэхъуэкӏэ | адэхъуэхэкӏэ | адэхъуэр | адэхъуэхэ | адэхъуэхэмэ | адэхъуэхэр,accepted
wiktionary-00097,train,true,,wiktionary,97,lexicon,азан,(Islam) adhan (call to prayer),noun,азан | азанэхэр | азанэм | азанэхэм | азаныу | азанэхэ | азанэкӏэ | азанэхэмэ | азанэхыу | азанэхэкӏэ | азанэр | азанэ,accepted
wiktionary-00098,train,true,,wiktionary,98,lexicon,азыфагу,between,adv,азыфагу | языфагу,accepted
wiktionary-00099,train,true,,wiktionary,99,lexicon,азэнадж,muezzin,noun,азэнадж | азэнаджэхэр | азэнаджэхэм | азэнаджэхэкӏэ | азэнаджэр | азэнаджэ | азэнаджэм | азэнаджэхэмэ | азэнаджэхыу | азэнаджэкӏэ | азэнаджыу | азэнаджэхэ,accepted
wiktionary-00100,validation,true,,wiktionary,100,lexicon,азэнаджапӏ,minaret,noun,азэнаджапӏ | азэнаджапӏэхэмэ | азэнаджапӏэм | азэнаджапӏэхэкӏэ | азэнаджапӏыу | азэнаджапӏэхыу | азэнаджапӏэр | азэнаджапӏэхэм | азэнаджапӏэкӏэ | азэнаджапӏэхэр | азэнаджапӏэ | азэнаджапӏэхэ,accepted
