task,domain,difficulty,target_count,generated_count,accepted_count,reasoning_trace_default
qa,family_relationships,medium,10,0,0,no
qa,family_relationships,hard,10,0,0,yes
qa,workplace_career,easy,10,0,0,no
qa,workplace_career,medium,10,0,0,no
qa,workplace_career,hard,10,0,0,yes
qa,transportation,easy,10,0,0,no
qa,transportation,medium,10,0,0,no
qa,transportation,hard,10,0,0,yes
qa,shopping_consumer,easy,10,0,0,no
qa,shopping_consumer,medium,10,0,0,no
qa,shopping_consumer,hard,10,0,0,yes
qa,hobbies_crafts,easy,10,0,0,no
qa,hobbies_crafts,medium,10,0,0,no
qa,hobbies_crafts,hard,10,0,0,yes
qa,social_media_internet,easy,10,0,0,no
qa,social_media_internet,medium,10,0,0,no
qa,social_media_internet,hard,10,0,0,yes
reading_comprehension,daily_life,easy,10,0,0,no
reading_comprehension,daily_life,medium,10,0,0,no
reading_comprehension,daily_life,hard,10,0,0,yes
reading_comprehension,technology,easy,10,0,0,no
reading_comprehension,technology,medium,10,0,0,no
reading_comprehension,technology,hard,10,0,0,yes
reading_comprehension,sports,easy,10,0,0,no
reading_comprehension,sports,medium,10,0,0,no
reading_comprehension,sports,hard,10,0,0,yes
reading_comprehension,health_medicine,easy,10,0,0,no
reading_comprehension,health_medicine,medium,10,0,0,no
reading_comprehension,health_medicine,hard,10,0,0,yes
reading_comprehension,science_nature,easy,10,0,0,no
reading_comprehension,science_nature,medium,10,0,0,no
reading_comprehension,science_nature,hard,10,0,0,yes
reading_comprehension,history,easy,10,0,0,no
reading_comprehension,history,medium,10,0,0,no
reading_comprehension,history,hard,10,0,0,yes
reading_comprehension,business_finance,easy,10,0,0,no
reading_comprehension,business_finance,medium,10,0,0,no
reading_comprehension,business_finance,hard,10,0,0,yes
reading_comprehension,law_civic,easy,10,0,0,no
reading_comprehension,law_civic,medium,10,0,0,no
reading_comprehension,law_civic,hard,10,0,0,yes
reading_comprehension,education,easy,10,0,0,no
reading_comprehension,education,medium,10,0,0,no
reading_comprehension,education,hard,10,0,0,yes
reading_comprehension,environment_climate,easy,10,0,0,no
reading_comprehension,environment_climate,medium,10,0,0,no
reading_comprehension,environment_climate,hard,10,0,0,yes
reading_comprehension,travel_tourism,easy,10,0,0,no
reading_comprehension,travel_tourism,medium,10,0,0,no
reading_comprehension,travel_tourism,hard,10,0,0,yes
reading_comprehension,food_cuisine,easy,10,0,0,no
reading_comprehension,food_cuisine,medium,10,0,0,no
reading_comprehension,food_cuisine,hard,10,0,0,yes
reading_comprehension,arts_literature,easy,10,0,0,no
reading_comprehension,arts_literature,medium,10,0,0,no
reading_comprehension,arts_literature,hard,10,0,0,yes
reading_comprehension,music_entertainment,easy,10,0,0,no
reading_comprehension,music_entertainment,medium,10,0,0,no
reading_comprehension,music_entertainment,hard,10,0,0,yes
reading_comprehension,family_relationships,easy,10,0,0,no
reading_comprehension,family_relationships,medium,10,0,0,no
reading_comprehension,family_relationships,hard,10,0,0,yes
reading_comprehension,workplace_career,easy,10,0,0,no
reading_comprehension,workplace_career,medium,10,0,0,no
reading_comprehension,workplace_career,hard,10,0,0,yes
reading_comprehension,transportation,easy,10,0,0,no
reading_comprehension,transportation,medium,10,0,0,no
reading_comprehension,transportation,hard,10,0,0,yes
reading_comprehension,shopping_consumer,easy,10,0,0,no
reading_comprehension,shopping_consumer,medium,10,0,0,no
reading_comprehension,shopping_consumer,hard,10,0,0,yes
reading_comprehension,hobbies_crafts,easy,10,0,0,no
reading_comprehension,hobbies_crafts,medium,10,0,0,no
reading_comprehension,hobbies_crafts,hard,10,0,0,yes
reading_comprehension,social_media_internet,easy,10,0,0,no
reading_comprehension,social_media_internet,medium,10,0,0,no
reading_comprehension,social_media_internet,hard,10,0,0,yes
reasoning,daily_life,easy,10,0,0,no
reasoning,daily_life,medium,10,0,0,no
reasoning,daily_life,hard,10,0,0,yes
reasoning,technology,easy,10,0,0,no
reasoning,technology,medium,10,0,0,no
reasoning,technology,hard,10,0,0,yes
reasoning,sports,easy,10,0,0,no
reasoning,sports,medium,10,0,0,no
reasoning,sports,hard,10,0,0,yes
reasoning,health_medicine,easy,10,0,0,no
reasoning,health_medicine,medium,10,0,0,no
reasoning,health_medicine,hard,10,0,0,yes
reasoning,science_nature,easy,10,0,0,no
reasoning,science_nature,medium,10,0,0,no
reasoning,science_nature,hard,10,0,0,yes
reasoning,history,easy,10,0,0,no
reasoning,history,medium,10,0,0,no
reasoning,history,hard,10,0,0,yes
reasoning,business_finance,easy,10,0,0,no
reasoning,business_finance,medium,10,0,0,no
reasoning,business_finance,hard,10,0,0,yes
reasoning,law_civic,easy,10,0,0,no
reasoning,law_civic,medium,10,0,0,no
reasoning,law_civic,hard,10,0,0,yes
reasoning,education,easy,10,0,0,no
reasoning,education,medium,10,0,0,no
reasoning,education,hard,10,0,0,yes
reasoning,environment_climate,easy,10,0,0,no
reasoning,environment_climate,medium,10,0,0,no
reasoning,environment_climate,hard,10,0,0,yes
reasoning,travel_tourism,easy,10,0,0,no
reasoning,travel_tourism,medium,10,0,0,no
reasoning,travel_tourism,hard,10,0,0,yes
reasoning,food_cuisine,easy,10,0,0,no
reasoning,food_cuisine,medium,10,0,0,no
reasoning,food_cuisine,hard,10,0,0,yes
reasoning,arts_literature,easy,10,0,0,no
reasoning,arts_literature,medium,10,0,0,no
reasoning,arts_literature,hard,10,0,0,yes
reasoning,music_entertainment,easy,10,0,0,no
reasoning,music_entertainment,medium,10,0,0,no
reasoning,music_entertainment,hard,10,0,0,yes
reasoning,family_relationships,easy,10,0,0,no
reasoning,family_relationships,medium,10,0,0,no
reasoning,family_relationships,hard,10,0,0,yes
reasoning,workplace_career,easy,10,0,0,no
reasoning,workplace_career,medium,10,0,0,no
reasoning,workplace_career,hard,10,0,0,yes
reasoning,transportation,easy,10,0,0,no
reasoning,transportation,medium,10,0,0,no
reasoning,transportation,hard,10,0,0,yes
reasoning,shopping_consumer,easy,10,0,0,no
reasoning,shopping_consumer,medium,10,0,0,no
reasoning,shopping_consumer,hard,10,0,0,yes
reasoning,hobbies_crafts,easy,10,0,0,no
reasoning,hobbies_crafts,medium,10,0,0,no
reasoning,hobbies_crafts,hard,10,0,0,yes
reasoning,social_media_internet,easy,10,0,0,no
reasoning,social_media_internet,medium,10,0,0,no
reasoning,social_media_internet,hard,10,0,0,yes
summarization,daily_life,easy,10,0,0,no
summarization,daily_life,medium,10,0,0,no
summarization,daily_life,hard,10,0,0,no
summarization,technology,easy,10,0,0,no
summarization,technology,medium,10,0,0,no
summarization,technology,hard,10,0,0,no
summarization,sports,easy,10,0,0,no
summarization,sports,medium,10,0,0,no
summarization,sports,hard,10,0,0,no
summarization,health_medicine,easy,10,0,0,no
summarization,health_medicine,medium,10,0,0,no
summarization,health_medicine,hard,10,0,0,no
summarization,science_nature,easy,10,0,0,no
summarization,science_nature,medium,10,0,0,no
summarization,science_nature,hard,10,0,0,no
summarization,history,easy,10,0,0,no
summarization,history,medium,10,0,0,no
summarization,history,hard,10,0,0,no
summarization,business_finance,easy,10,0,0,no
summarization,business_finance,medium,10,0,0,no
summarization,business_finance,hard,10,0,0,no
summarization,law_civic,easy,10,0,0,no
summarization,law_civic,medium,10,0,0,no
summarization,law_civic,hard,10,0,0,no
summarization,education,easy,10,0,0,no
summarization,education,medium,10,0,0,no
summarization,education,hard,10,0,0,no
summarization,environment_climate,easy,10,0,0,no
summarization,environment_climate,medium,10,0,0,no
summarization,environment_climate,hard,10,0,0,no
summarization,travel_tourism,easy,10,0,0,no
summarization,travel_tourism,medium,10,0,0,no
summarization,travel_tourism,hard,10,0,0,no
summarization,food_cuisine,easy,10,0,0,no
summarization,food_cuisine,medium,10,0,0,no
summarization,food_cuisine,hard,10,0,0,no
summarization,arts_literature,easy,10,0,0,no
summarization,arts_literature,medium,10,0,0,no
summarization,arts_literature,hard,10,0,0,no
summarization,music_entertainment,easy,10,0,0,no
summarization,music_entertainment,medium,10,0,0,no
summarization,music_entertainment,hard,10,0,0,no
summarization,family_relationships,easy,10,0,0,no
summarization,family_relationships,medium,10,0,0,no
summarization,family_relationships,hard,10,0,0,no
summarization,workplace_career,easy,10,0,0,no
summarization,workplace_career,medium,10,0,0,no
summarization,workplace_career,hard,10,0,0,no
summarization,transportation,easy,10,0,0,no
summarization,transportation,medium,10,0,0,no
summarization,transportation,hard,10,0,0,no
summarization,shopping_consumer,easy,10,0,0,no
summarization,shopping_consumer,medium,10,0,0,no
summarization,shopping_consumer,hard,10,0,0,no
summarization,hobbies_crafts,easy,10,0,0,no
summarization,hobbies_crafts,medium,10,0,0,no
summarization,hobbies_crafts,hard,10,0,0,no
summarization,social_media_internet,easy,10,0,0,no
summarization,social_media_internet,medium,10,0,0,no
summarization,social_media_internet,hard,10,0,0,no
rewriting_grammar,daily_life,easy,10,0,0,no
rewriting_grammar,daily_life,medium,10,0,0,no
rewriting_grammar,daily_life,hard,10,0,0,no
rewriting_grammar,technology,easy,10,0,0,no
rewriting_grammar,technology,medium,10,0,0,no
rewriting_grammar,technology,hard,10,0,0,no
rewriting_grammar,sports,easy,10,0,0,no
rewriting_grammar,sports,medium,10,0,0,no
rewriting_grammar,sports,hard,10,0,0,no
rewriting_grammar,health_medicine,easy,10,0,0,no
rewriting_grammar,health_medicine,medium,10,0,0,no
rewriting_grammar,health_medicine,hard,10,0,0,no
rewriting_grammar,science_nature,easy,10,0,0,no
rewriting_grammar,science_nature,medium,10,0,0,no
rewriting_grammar,science_nature,hard,10,0,0,no
rewriting_grammar,history,easy,10,0,0,no
rewriting_grammar,history,medium,10,0,0,no
rewriting_grammar,history,hard,10,0,0,no
rewriting_grammar,business_finance,easy,10,0,0,no
rewriting_grammar,business_finance,medium,10,0,0,no
rewriting_grammar,business_finance,hard,10,0,0,no
rewriting_grammar,law_civic,easy,10,0,0,no
rewriting_grammar,law_civic,medium,10,0,0,no
rewriting_grammar,law_civic,hard,10,0,0,no
rewriting_grammar,education,easy,10,0,0,no
rewriting_grammar,education,medium,10,0,0,no
rewriting_grammar,education,hard,10,0,0,no
rewriting_grammar,environment_climate,easy,10,0,0,no
rewriting_grammar,environment_climate,medium,10,0,0,no
rewriting_grammar,environment_climate,hard,10,0,0,no
rewriting_grammar,travel_tourism,easy,10,0,0,no
rewriting_grammar,travel_tourism,medium,10,0,0,no
rewriting_grammar,travel_tourism,hard,10,0,0,no
rewriting_grammar,food_cuisine,easy,10,0,0,no
rewriting_grammar,food_cuisine,medium,10,0,0,no
rewriting_grammar,food_cuisine,hard,10,0,0,no
rewriting_grammar,arts_literature,easy,10,0,0,no
rewriting_grammar,arts_literature,medium,10,0,0,no
rewriting_grammar,arts_literature,hard,10,0,0,no
rewriting_grammar,music_entertainment,easy,10,0,0,no
rewriting_grammar,music_entertainment,medium,10,0,0,no
rewriting_grammar,music_entertainment,hard,10,0,0,no
rewriting_grammar,family_relationships,easy,10,0,0,no
rewriting_grammar,family_relationships,medium,10,0,0,no
rewriting_grammar,family_relationships,hard,10,0,0,no
rewriting_grammar,workplace_career,easy,10,0,0,no
rewriting_grammar,workplace_career,medium,10,0,0,no
rewriting_grammar,workplace_career,hard,10,0,0,no
rewriting_grammar,transportation,easy,10,0,0,no
rewriting_grammar,transportation,medium,10,0,0,no
rewriting_grammar,transportation,hard,10,0,0,no
rewriting_grammar,shopping_consumer,easy,10,0,0,no
rewriting_grammar,shopping_consumer,medium,10,0,0,no
rewriting_grammar,shopping_consumer,hard,10,0,0,no
rewriting_grammar,hobbies_crafts,easy,10,0,0,no
rewriting_grammar,hobbies_crafts,medium,10,0,0,no
rewriting_grammar,hobbies_crafts,hard,10,0,0,no
rewriting_grammar,social_media_internet,easy,10,0,0,no
rewriting_grammar,social_media_internet,medium,10,0,0,no
rewriting_grammar,social_media_internet,hard,10,0,0,no
classification_nli,daily_life,easy,10,0,0,no
classification_nli,daily_life,medium,10,0,0,no
classification_nli,daily_life,hard,10,0,0,yes
classification_nli,technology,easy,10,0,0,no
classification_nli,technology,medium,10,0,0,no
classification_nli,technology,hard,10,0,0,yes
classification_nli,sports,easy,10,0,0,no
classification_nli,sports,medium,10,0,0,no
classification_nli,sports,hard,10,0,0,yes
classification_nli,health_medicine,easy,10,0,0,no
classification_nli,health_medicine,medium,10,0,0,no
classification_nli,health_medicine,hard,10,0,0,yes
classification_nli,science_nature,easy,10,0,0,no
classification_nli,science_nature,medium,10,0,0,no
classification_nli,science_nature,hard,10,0,0,yes
classification_nli,history,easy,10,0,0,no
classification_nli,history,medium,10,0,0,no
classification_nli,history,hard,10,0,0,yes
classification_nli,business_finance,easy,10,0,0,no
classification_nli,business_finance,medium,10,0,0,no
classification_nli,business_finance,hard,10,0,0,yes
classification_nli,law_civic,easy,10,0,0,no
classification_nli,law_civic,medium,10,0,0,no
classification_nli,law_civic,hard,10,0,0,yes
classification_nli,education,easy,10,0,0,no
classification_nli,education,medium,10,0,0,no
classification_nli,education,hard,10,0,0,yes
classification_nli,environment_climate,easy,10,0,0,no
classification_nli,environment_climate,medium,10,0,0,no
classification_nli,environment_climate,hard,10,0,0,yes
classification_nli,travel_tourism,easy,10,0,0,no
classification_nli,travel_tourism,medium,10,0,0,no
classification_nli,travel_tourism,hard,10,0,0,yes
classification_nli,food_cuisine,easy,10,0,0,no
classification_nli,food_cuisine,medium,10,0,0,no
classification_nli,food_cuisine,hard,10,0,0,yes
classification_nli,arts_literature,easy,10,0,0,no
classification_nli,arts_literature,medium,10,0,0,no
classification_nli,arts_literature,hard,10,0,0,yes
classification_nli,music_entertainment,easy,10,0,0,no
classification_nli,music_entertainment,medium,10,0,0,no
classification_nli,music_entertainment,hard,10,0,0,yes
classification_nli,family_relationships,easy,10,0,0,no
classification_nli,family_relationships,medium,10,0,0,no
classification_nli,family_relationships,hard,10,0,0,yes
classification_nli,workplace_career,easy,10,0,0,no
classification_nli,workplace_career,medium,10,0,0,no
classification_nli,workplace_career,hard,10,0,0,yes
classification_nli,transportation,easy,10,0,0,no
classification_nli,transportation,medium,10,0,0,no
classification_nli,transportation,hard,10,0,0,yes
classification_nli,shopping_consumer,easy,10,0,0,no
classification_nli,shopping_consumer,medium,10,0,0,no
classification_nli,shopping_consumer,hard,10,0,0,yes
classification_nli,hobbies_crafts,easy,10,0,0,no
classification_nli,hobbies_crafts,medium,10,0,0,no
classification_nli,hobbies_crafts,hard,10,0,0,yes
classification_nli,social_media_internet,easy,10,0,0,no
classification_nli,social_media_internet,medium,10,0,0,no
classification_nli,social_media_internet,hard,10,0,0,yes
dialogue,daily_life,easy,10,0,0,no
dialogue,daily_life,medium,10,0,0,no
dialogue,daily_life,hard,10,0,0,no
dialogue,technology,easy,10,0,0,no
dialogue,technology,medium,10,0,0,no
dialogue,technology,hard,10,0,0,no
dialogue,sports,easy,10,0,0,no
dialogue,sports,medium,10,0,0,no
dialogue,sports,hard,10,0,0,no
dialogue,health_medicine,easy,10,0,0,no
dialogue,health_medicine,medium,10,0,0,no
dialogue,health_medicine,hard,10,0,0,no
dialogue,science_nature,easy,10,0,0,no
dialogue,science_nature,medium,10,0,0,no
dialogue,science_nature,hard,10,0,0,no
dialogue,history,easy,10,0,0,no
dialogue,history,medium,10,0,0,no
dialogue,history,hard,10,0,0,no
dialogue,business_finance,easy,10,0,0,no
dialogue,business_finance,medium,10,0,0,no
dialogue,business_finance,hard,10,0,0,no
dialogue,law_civic,easy,10,0,0,no
dialogue,law_civic,medium,10,0,0,no
dialogue,law_civic,hard,10,0,0,no
dialogue,education,easy,10,0,0,no
dialogue,education,medium,10,0,0,no
dialogue,education,hard,10,0,0,no
dialogue,environment_climate,easy,10,0,0,no
dialogue,environment_climate,medium,10,0,0,no
dialogue,environment_climate,hard,10,0,0,no
dialogue,travel_tourism,easy,10,0,0,no
dialogue,travel_tourism,medium,10,0,0,no
dialogue,travel_tourism,hard,10,0,0,no
dialogue,food_cuisine,easy,10,0,0,no
dialogue,food_cuisine,medium,10,0,0,no
dialogue,food_cuisine,hard,10,0,0,no
dialogue,arts_literature,easy,10,0,0,no
dialogue,arts_literature,medium,10,0,0,no
dialogue,arts_literature,hard,10,0,0,no
dialogue,music_entertainment,easy,10,0,0,no
dialogue,music_entertainment,medium,10,0,0,no
dialogue,music_entertainment,hard,10,0,0,no
dialogue,family_relationships,easy,10,0,0,no
dialogue,family_relationships,medium,10,0,0,no
dialogue,family_relationships,hard,10,0,0,no
dialogue,workplace_career,easy,10,0,0,no
dialogue,workplace_career,medium,10,0,0,no
dialogue,workplace_career,hard,10,0,0,no
dialogue,transportation,easy,10,0,0,no
dialogue,transportation,medium,10,0,0,no
dialogue,transportation,hard,10,0,0,no
dialogue,shopping_consumer,easy,10,0,0,no
dialogue,shopping_consumer,medium,10,0,0,no
dialogue,shopping_consumer,hard,10,0,0,no
dialogue,hobbies_crafts,easy,10,0,0,no
dialogue,hobbies_crafts,medium,10,0,0,no
dialogue,hobbies_crafts,hard,10,0,0,no
dialogue,social_media_internet,easy,10,0,0,no
dialogue,social_media_internet,medium,10,0,0,no
dialogue,social_media_internet,hard,10,0,0,no
translation,daily_life,easy,10,0,0,no
translation,daily_life,medium,10,0,0,no
translation,daily_life,hard,10,0,0,no
translation,technology,easy,10,0,0,no
translation,technology,medium,10,0,0,no
translation,technology,hard,10,0,0,no
translation,sports,easy,10,0,0,no
translation,sports,medium,10,0,0,no
translation,sports,hard,10,0,0,no
translation,health_medicine,easy,10,0,0,no
translation,health_medicine,medium,10,0,0,no
translation,health_medicine,hard,10,0,0,no
translation,science_nature,easy,10,0,0,no
translation,science_nature,medium,10,0,0,no
translation,science_nature,hard,10,0,0,no
translation,history,easy,10,0,0,no
translation,history,medium,10,0,0,no
translation,history,hard,10,0,0,no
translation,business_finance,easy,10,0,0,no
translation,business_finance,medium,10,0,0,no
translation,business_finance,hard,10,0,0,no
translation,law_civic,easy,10,0,0,no
translation,law_civic,medium,10,0,0,no
translation,law_civic,hard,10,0,0,no
translation,education,easy,10,0,0,no
translation,education,medium,10,0,0,no
translation,education,hard,10,0,0,no
translation,environment_climate,easy,10,0,0,no
translation,environment_climate,medium,10,0,0,no
translation,environment_climate,hard,10,0,0,no
translation,travel_tourism,easy,10,0,0,no
translation,travel_tourism,medium,10,0,0,no
translation,travel_tourism,hard,10,0,0,no
translation,food_cuisine,easy,10,0,0,no
translation,food_cuisine,medium,10,0,0,no
translation,food_cuisine,hard,10,0,0,no
translation,arts_literature,easy,10,0,0,no
translation,arts_literature,medium,10,0,0,no
translation,arts_literature,hard,10,0,0,no
translation,music_entertainment,easy,10,0,0,no
translation,music_entertainment,medium,10,0,0,no
translation,music_entertainment,hard,10,0,0,no
translation,family_relationships,easy,10,0,0,no
translation,family_relationships,medium,10,0,0,no
translation,family_relationships,hard,10,0,0,no
translation,workplace_career,easy,10,0,0,no
translation,workplace_career,medium,10,0,0,no
translation,workplace_career,hard,10,0,0,no
translation,transportation,easy,10,0,0,no
translation,transportation,medium,10,0,0,no
translation,transportation,hard,10,0,0,no
translation,shopping_consumer,easy,10,0,0,no
translation,shopping_consumer,medium,10,0,0,no
translation,shopping_consumer,hard,10,0,0,no
translation,hobbies_crafts,easy,10,0,0,no
translation,hobbies_crafts,medium,10,0,0,no
translation,hobbies_crafts,hard,10,0,0,no
translation,social_media_internet,easy,10,0,0,no
translation,social_media_internet,medium,10,0,0,no
translation,social_media_internet,hard,10,0,0,no
structured_extraction,daily_life,easy,10,0,0,no
structured_extraction,daily_life,medium,10,0,0,no
structured_extraction,daily_life,hard,10,0,0,yes
structured_extraction,technology,easy,10,0,0,no
structured_extraction,technology,medium,10,0,0,no
structured_extraction,technology,hard,10,0,0,yes
structured_extraction,sports,easy,10,0,0,no
structured_extraction,sports,medium,10,0,0,no
structured_extraction,sports,hard,10,0,0,yes
structured_extraction,health_medicine,easy,10,0,0,no
structured_extraction,health_medicine,medium,10,0,0,no
structured_extraction,health_medicine,hard,10,0,0,yes
structured_extraction,science_nature,easy,10,0,0,no
structured_extraction,science_nature,medium,10,0,0,no
structured_extraction,science_nature,hard,10,0,0,yes
structured_extraction,history,easy,10,0,0,no
structured_extraction,history,medium,10,0,0,no
structured_extraction,history,hard,10,0,0,yes
structured_extraction,business_finance,easy,10,0,0,no
structured_extraction,business_finance,medium,10,0,0,no
structured_extraction,business_finance,hard,10,0,0,yes
structured_extraction,law_civic,easy,10,0,0,no
structured_extraction,law_civic,medium,10,0,0,no
structured_extraction,law_civic,hard,10,0,0,yes
structured_extraction,education,easy,10,0,0,no
structured_extraction,education,medium,10,0,0,no
structured_extraction,education,hard,10,0,0,yes
structured_extraction,environment_climate,easy,10,0,0,no
structured_extraction,environment_climate,medium,10,0,0,no
structured_extraction,environment_climate,hard,10,0,0,yes
structured_extraction,travel_tourism,easy,10,0,0,no
structured_extraction,travel_tourism,medium,10,0,0,no
structured_extraction,travel_tourism,hard,10,0,0,yes
structured_extraction,food_cuisine,easy,10,0,0,no
structured_extraction,food_cuisine,medium,10,0,0,no
structured_extraction,food_cuisine,hard,10,0,0,yes
structured_extraction,arts_literature,easy,10,0,0,no
structured_extraction,arts_literature,medium,10,0,0,no
structured_extraction,arts_literature,hard,10,0,0,yes
structured_extraction,music_entertainment,easy,10,0,0,no
structured_extraction,music_entertainment,medium,10,0,0,no
structured_extraction,music_entertainment,hard,10,0,0,yes
structured_extraction,family_relationships,easy,10,0,0,no
structured_extraction,family_relationships,medium,10,0,0,no
structured_extraction,family_relationships,hard,10,0,0,yes
structured_extraction,workplace_career,easy,10,0,0,no
structured_extraction,workplace_career,medium,10,0,0,no
structured_extraction,workplace_career,hard,10,0,0,yes
structured_extraction,transportation,easy,10,0,0,no
structured_extraction,transportation,medium,10,0,0,no
structured_extraction,transportation,hard,10,0,0,yes
structured_extraction,shopping_consumer,easy,10,0,0,no
structured_extraction,shopping_consumer,medium,10,0,0,no
structured_extraction,shopping_consumer,hard,10,0,0,yes
structured_extraction,hobbies_crafts,easy,10,0,0,no
structured_extraction,hobbies_crafts,medium,10,0,0,no
structured_extraction,hobbies_crafts,hard,10,0,0,yes
structured_extraction,social_media_internet,easy,10,0,0,no
structured_extraction,social_media_internet,medium,10,0,0,no
structured_extraction,social_media_internet,hard,10,0,0,yes
